"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2023","27,150","26,725","27,375","26,725","4.76M","1.59%"
"08/02/2023","26,725","27,500","27,500","26,500","8.22M","-2.91%"
"08/01/2023","27,525","27,625","27,700","27,150","4.08M","0.00%"
"07/31/2023","27,525","27,450","27,650","27,075","10.46M","3.28%"
"07/28/2023","26,650","26,400","26,650","26,025","4.25M","1.04%"
"07/27/2023","26,375","26,425","26,750","26,100","6.53M","-0.09%"
"07/26/2023","26,400","25,525","26,575","25,525","9.07M","3.94%"
"07/25/2023","25,400","25,500","25,800","25,400","5.14M","0.00%"
"07/24/2023","25,400","24,525","25,600","24,525","7.84M","3.67%"
"07/21/2023","24,500","24,400","24,500","24,275","2.55M","0.51%"
"07/20/2023","24,375","24,575","24,575","24,225","3.01M","0.52%"
"07/18/2023","24,250","24,250","24,450","24,050","4.10M","0.10%"
"07/17/2023","24,225","24,300","24,400","24,200","3.02M","0.31%"
"07/14/2023","24,150","24,200","24,275","24,050","2.68M","0.00%"
"07/13/2023","24,150","24,000","24,225","23,975","2.58M","0.63%"
"07/12/2023","24,000","24,475","24,475","24,000","3.57M","-1.94%"
"07/11/2023","24,475","24,100","24,475","24,075","3.99M","1.56%"
"07/10/2023","24,100","23,900","24,150","23,875","2.89M","1.47%"
"07/07/2023","23,750","23,900","24,000","23,600","4.70M","-1.25%"
"07/06/2023","24,050","23,950","24,075","23,825","4.41M","1.48%"
"07/05/2023","23,700","23,200","23,775","23,150","5.47M","2.60%"
"07/04/2023","23,100","23,150","23,250","23,050","2.44M","0.22%"
"07/03/2023","23,050","23,325","23,375","22,825","6.56M","-0.97%"
"06/27/2023","23,275","23,275","23,325","23,125","2.04M","0.00%"
"06/26/2023","23,275","23,400","23,425","23,075","2.46M","-0.43%"
"06/23/2023","23,375","23,525","23,675","23,150","3.45M","-0.64%"
"06/22/2023","23,525","23,500","23,775","23,350","6.07M","0.75%"
"06/21/2023","23,350","23,175","23,375","23,000","4.01M","0.97%"
