"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2023","2,430","2,530","2,570","2,430","43.78M","-3.57%"
"10/04/2023","2,520","2,500","2,550","2,410","77.57M","0.00%"
"10/03/2023","2,520","2,670","2,720","2,500","79.97M","-5.62%"
"10/02/2023","2,670","2,880","2,890","2,670","68.67M","-7.29%"
"09/29/2023","2,880","3,000","3,000","2,860","56.93M","-4.95%"
"09/27/2023","3,030","3,000","3,050","2,960","20.04M","1.00%"
"09/26/2023","3,000","3,110","3,130","2,940","42.18M","-3.54%"
"09/25/2023","3,110","3,240","3,250","3,110","33.08M","-4.01%"
"09/22/2023","3,240","3,180","3,270","3,180","17.41M","0.93%"
"09/21/2023","3,210","3,230","3,270","3,150","25.83M","-1.53%"
"09/20/2023","3,260","3,310","3,360","3,260","35.12M","-0.91%"
"09/19/2023","3,290","3,100","3,340","3,070","47.76M","6.13%"
"09/18/2023","3,100","3,150","3,190","3,100","19.66M","-1.59%"
"09/15/2023","3,150","3,170","3,200","3,140","38.35M","0.00%"
"09/14/2023","3,150","3,170","3,180","3,140","20.52M","0.32%"
"09/13/2023","3,140","3,140","3,190","3,120","21.18M","0.00%"
"09/12/2023","3,140","3,180","3,210","3,030","52.98M","-1.26%"
"09/11/2023","3,180","3,210","3,220","3,130","37.32M","-0.93%"
"09/08/2023","3,210","3,390","3,400","3,200","33.42M","-5.31%"
"09/07/2023","3,390","3,450","3,490","3,350","22.02M","-1.74%"
"09/06/2023","3,450","3,450","3,480","3,390","30.29M","0.29%"
"09/05/2023","3,440","3,440","3,480","3,400","32.14M","0.88%"
"09/04/2023","3,410","3,420","3,480","3,360","17.36M","0.59%"
"09/01/2023","3,390","3,410","3,440","3,330","15.81M","0.30%"
"08/31/2023","3,380","3,390","3,470","3,360","66.08M","0.00%"
"08/30/2023","3,380","3,200","3,430","3,200","43.76M","5.96%"
"08/29/2023","3,190","3,190","3,230","3,190","12.92M","0.31%"
"08/28/2023","3,180","3,220","3,230","3,180","9.63M","-1.24%"
"08/25/2023","3,220","3,200","3,240","3,180","18.19M","0.63%"
"08/24/2023","3,200","3,250","3,290","3,200","13.36M","-1.54%"
"08/23/2023","3,250","3,320","3,340","3,250","16.87M","-1.52%"
"08/22/2023","3,300","3,310","3,330","3,290","20.27M","0.92%"
"08/21/2023","3,270","3,180","3,320","3,180","28.50M","2.83%"
"08/18/2023","3,180","3,170","3,240","3,130","27.73M","0.00%"
"08/16/2023","3,180","3,210","3,230","3,150","36.31M","-0.93%"
"08/15/2023","3,210","3,290","3,290","3,200","16.37M","-1.53%"
"08/14/2023","3,260","3,290","3,310","3,240","11.81M","-0.61%"
"08/11/2023","3,280","3,280","3,290","3,220","21.05M","0.00%"
"08/10/2023","3,280","3,360","3,360","3,280","19.00M","-2.38%"
"08/09/2023","3,360","3,370","3,380","3,280","33.10M","-0.30%"
"08/08/2023","3,370","3,390","3,420","3,360","16.90M","0.00%"
"08/07/2023","3,370","3,450","3,460","3,370","16.49M","-1.75%"
"08/04/2023","3,430","3,470","3,530","3,370","33.46M","-0.29%"
"08/03/2023","3,440","3,400","3,450","3,350","28.10M","0.00%"
"08/02/2023","3,440","3,460","3,470","3,390","41.14M","-0.86%"
"08/01/2023","3,470","3,520","3,580","3,450","41.21M","-1.14%"
"07/31/2023","3,510","3,310","3,520","3,310","43.58M","6.69%"
"07/28/2023","3,290","3,370","3,370","3,270","19.04M","-2.66%"
"07/27/2023","3,380","3,370","3,400","3,300","26.06M","0.00%"
"07/26/2023","3,380","3,400","3,400","3,340","18.90M","-0.59%"
"07/25/2023","3,400","3,370","3,420","3,340","25.72M","0.89%"
"07/24/2023","3,370","3,360","3,380","3,320","15.79M","0.30%"
"07/21/2023","3,360","3,340","3,390","3,320","19.13M","0.60%"
"07/20/2023","3,340","3,190","3,340","3,190","34.06M","5.70%"
"07/18/2023","3,160","3,260","3,270","3,130","31.73M","-3.07%"
"07/17/2023","3,260","3,330","3,360","3,260","24.72M","-2.10%"
"07/14/2023","3,330","3,380","3,410","3,300","17.51M","-1.48%"
"07/13/2023","3,380","3,430","3,440","3,360","23.54M","-0.29%"
"07/12/2023","3,390","3,350","3,400","3,320","17.97M","1.19%"
"07/11/2023","3,350","3,360","3,420","3,310","22.09M","0.00%"
"07/10/2023","3,350","3,330","3,390","3,290","17.59M","0.60%"
"07/07/2023","3,330","3,400","3,400","3,290","23.80M","-2.35%"
"07/06/2023","3,410","3,390","3,470","3,340","44.47M","1.49%"
"07/05/2023","3,360","3,240","3,390","3,210","58.65M","4.35%"
"07/04/2023","3,220","3,170","3,230","3,130","23.19M","2.22%"
"07/03/2023","3,150","3,110","3,180","3,070","34.36M","2.94%"
"06/27/2023","3,060","3,100","3,110","3,050","29.80M","-1.29%"
"06/26/2023","3,100","3,150","3,210","3,070","34.11M","-1.59%"
"06/23/2023","3,150","3,030","3,220","3,030","69.27M","3.96%"
"06/22/2023","3,030","3,010","3,110","2,990","55.53M","0.66%"
"06/21/2023","3,010","2,910","3,050","2,860","40.57M","3.44%"
"06/20/2023","2,910","3,030","3,030","2,880","40.80M","-3.96%"
"06/19/2023","3,030","3,050","3,050","3,010","14.77M","-0.33%"
"06/16/2023","3,040","3,050","3,070","3,000","38.29M","0.33%"
"06/15/2023","3,030","3,030","3,040","3,010","22.14M","0.00%"
"06/14/2023","3,030","3,130","3,130","3,000","59.27M","-1.30%"
"06/13/2023","3,070","3,100","3,100","3,020","47.67M","-0.97%"
"06/12/2023","3,100","3,100","3,120","3,060","22.70M","0.00%"
"06/09/2023","3,100","3,140","3,140","3,080","28.62M","-0.32%"
"06/08/2023","3,110","3,140","3,140","3,050","50.08M","-0.96%"
"06/07/2023","3,140","3,120","3,170","3,080","61.49M","1.29%"
"06/06/2023","3,100","3,010","3,100","2,950","50.47M","2.31%"
"06/05/2023","3,030","3,000","3,130","2,870","89.59M","1.00%"
"05/31/2023","3,000","2,970","3,000","2,870","98.97M","1.35%"
"05/30/2023","2,960","2,960","2,990","2,850","51.27M","0.00%"
"05/29/2023","2,960","2,980","3,020","2,930","28.20M","-0.34%"
"05/26/2023","2,970","2,950","3,000","2,930","31.26M","0.00%"
"05/25/2023","2,970","2,980","3,020","2,940","30.18M","0.00%"
